Date,Month,Day,DayWeekNum,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,O3,PM10,PM2.5
01-ene-15,1,1,5,1,725.4,0.01,96,0,3.91,7.2,344,10,139,80
01-ene-15,1,1,5,2,725,0.02,96,0,3.81,6.3,341,7,42,29
01-ene-15,1,1,5,3,724.4,0,96,0,3.85,5.2,346,7,23,9
01-ene-15,1,1,5,5,724,0.01,96,0,3.79,5.6,336,7,23,14
01-ene-15,1,1,5,8,724.3,0,96,0.023,3.93,4.8,354,5,15,8
01-ene-15,1,1,5,9,724.3,0,96,0.052,4.13,4.2,15,7,16,6
01-ene-15,1,1,5,12,722.6,0,96,0.127,6.6,3.2,29,10,22,17
01-ene-15,1,1,5,13,721.7,0,95,0.15,6.89,4.8,2,12,32,16
01-ene-15,1,1,5,14,721,0,94,0.175,7.43,4.6,47,14,31,19
01-ene-15,1,1,5,15,720.8,0,93,0.091,7.15,4,42,11,50,35
01-ene-15,1,1,5,16,720.8,0,93,0.091,7.04,2.9,54,11,45,15
01-ene-15,1,1,5,17,720.6,0,93,0.014,6.82,4.4,81,10,62,36
01-ene-15,1,1,5,18,721,0,93,0.008,6.7,3.7,58,8,67,37
01-ene-15,1,1,5,19,721.3,0,94,0.016,6.5,5.6,101,6,59,33
01-ene-15,1,1,5,20,721.5,0,94,0.004,5.79,8.2,118,5,61,10
01-ene-15,1,1,5,22,721.6,0,95,0,5.09,7.5,103,5,28,14
01-ene-15,1,1,5,23,721.5,0,95,0,4.98,7.9,106,6,23,6
02-ene-15,1,2,6,0,721.7,0,96,0,4.86,4.1,83,6,15,12
02-ene-15,1,2,6,1,721.6,0.01,96,0,4.88,3.7,29,5,15,11
02-ene-15,1,2,6,2,721.3,0,96,0,4.76,5,20,6,15,12
02-ene-15,1,2,6,6,721.3,0,96,0.011,4.41,3.3,1,4,8,5
02-ene-15,1,2,6,8,721.9,0,95,0.043,4.69,3.1,5,4,12,12
02-ene-15,1,2,6,9,722.1,0,95,0.073,5.13,2,31,5,17,13
02-ene-15,1,2,6,12,720.1,0,91,0.13,7.31,1.8,70,10,42,10
02-ene-15,1,2,6,13,718.9,0,88,0.117,7.53,2.6,76,10,49,14
02-ene-15,1,2,6,14,718.4,0,87,0.07,7.25,4.4,66,8,73,52
02-ene-15,1,2,6,15,718.3,0,89,0.04,6.96,4,58,7,66,26
02-ene-15,1,2,6,16,718.1,0,91,0.02,6.61,3.7,55,6,72,30
02-ene-15,1,2,6,17,717.9,0,92,0.005,6.52,4.6,103,5,62,29
