Date,PRS_max,RAINF_max,RH_max,SR_max,TOUT_max,WSR_max,WDV_max,PM2.5_max,PRS_min,RAINF_min,RH_min,SR_min,TOUT_min,WSR_min,WDV_min,PRS_avg,RAINF_avg,RH_avg,SR_avg,TOUT_avg,WSR_avg,WDV_avg,CONT
01/04/2015,718.1,0,94,0.641,26.04,14.5,352,68,715.7,0,67,0,18.92,1.2,21,716.9,0,77.85,0.17265,22.8925,8.03,99.9,1
01/01/2015,725.4,0.02,96,0.175,7.43,8.2,354,80,720.6,0,93,0,3.79,2.9,2,722.4588235,0.002352941,94.76470588,0.044176471,5.553529412,5.3,145.7058824,1
01/02/2015,722,0.01,95,0.277,24.59,5.8,357,56,716.9,0,55,0,13.84,1.4,27,718.3695652,0.00173913,82.47826087,0.070434783,17.87434783,3.691304348,263,1
01/07/2015,720.4,0.029999999,92,0.412999988,26.59,14.2,125,40,718.8,0,71,0,21.35,5,31,719.7176471,0.001764706,82.17647059,0.118941176,23.50764706,8.705882353,92.29411765,0
01/03/2015,725.1,0.01,96,0.214,12.85,7.6,284,70,722.3,0,87,0,8.03,1.2,26,723.3176471,0.000588235,91.35294118,0.051823529,10.54470588,4.082352941,105.2941176,1
01/05/2015,721.3,0,81,0.822,27.06,13.1,353,40,718.8,0,45,0,15.66,3.3,9,719.973913,0,61.30434783,0.267478261,22.01956522,7.917391304,106.9565217,0
01/08/2015,720.1,0,72,0.877,34.75,13.9,118,37,717,0,39,0,24.8,1.5,11,718.7391304,0,56.86956522,0.265956522,29.7473913,7.495652174,69.17391304,0
01/09/2015,720,0,92,0.857,30.57,12.3,357,48,717.7,0,57,0,21.07,4.2,31,718.8266667,0,73.26666667,0.260733333,25.87133333,7.76,165.9333333,1
02/04/2015,718.9,0,96,0.733,30.72,14.4,349,96,715.9,0,49,0,18.5,3,16,717.4875,0,73.33333333,0.216208333,24.88375,8.041666667,156.75,1
02/01/2015,722.1,0.01,96,0.13,7.53,5.5,112,52,717.9,0,87,0,4.41,1.8,1,719.7277778,0.001111111,93.22222222,0.028277778,6.047777778,3.527777778,56.11111111,1
02/02/2015,728.7,0.06,89,0.486,8.57,15.5,351,27,725.5,0,77,0,5.43,3.7,10,726.975,0.01875,84.375,0.0885,6.6825,7.3125,193.625,0
02/07/2015,719.7,0,84,0.184,22.42,6.5,354,29,718.8,0,80,0.004,20.35,1.9,27,719.25,0,82.25,0.040624999,20.86875,3.9875,110,0
02/03/2015,725.8,0.02,96,0.064,11.29,5.8,345,35,724.2,0,92,0,9.99,3.6,3,724.8875,0.00625,94.375,0.012,10.52125,4.625,99.375,0
02/05/2015,721.3,0,93,0.784,25.17,13.9,120,41,717.9,0,63,0,16.64,3.3,15,719.775,0,78.58333333,0.189125,20.9475,8.8625,81.125,1
02/10/2015,717.2,0,57,0,29.16,12,105,39,717,0,46,0,26.45,10.4,92,717.075,0,52,0,27.76,11.45,98.25,0
02/08/2015,718.8,0,83,0.889,35.11,15.3,318,33,715.6,0,29,0,23.54,3.3,5,717.3681818,0,57.63636364,0.302909091,29.47181818,8.154545455,127.6363636,0
03/04/2015,721,0.01,95,0.747,30.52,11.6,312,84,716.8,0,59,0,20.69,2.5,7,718.173913,0.000434783,77.65217391,0.190347826,25.23391304,6.12173913,77.73913043,1
03/01/2015,722.5,0,96,0.176,14.63,5.9,356,119,718.1,0,73,0,5.84,1.1,6,719.8666667,0,89.77777778,0.046388889,8.6,2.883333333,145.9444444,1
03/02/2015,725.8,0.09,95,0.109,8.08,7.1,323,46,723,0,89,0,4.97,1,1,724.1809524,0.013809524,93.28571429,0.018285714,6.684761905,4.285714286,78.14285714,1
03/07/2015,718.7,0,93,0.769999981,31.8,15,346,53,716.4,0,49,0,22.22,4.1,16,717.5733333,0,68.6,0.328933332,27.77866667,10.42,113.8666667,1
03/03/2015,719.7,0,96,0.663,22.13,9.2,351,60,713.8,0,69,0.014,12.5,1.1,41,715.5846154,0,80.15384615,0.307846154,19.15461538,5.138461538,138.3846154,1
