MXPM2.5,MXPRS,MXRAINF,MXRH,MXSR,MXTOUT,MXWSR,MXWDV,MNPRS,MNRH,MNSR,MNTOUT,MNWSR,MNWDV,AVPRS,AVRAINF,AVRH,AVSR,AVTOUT,AVWSR,AVWDV,Month,DayWeek,Day,Class
80,726.1,0.02,96,0.175,7.43,8.4,358,720.6,93,0,3.78,2.8,2,722.8708333,0.002916667,95.08333333,0.041208333,5.2675,5.295833333,170.9583333,1,5,1,1
52,722.1,0.01,96,0.169,7.53,5.9,354,717.9,87,0,4.19,1.7,1,720.1208333,0.000833333,93.79166667,0.035208333,5.795,3.645833333,60.58333333,1,6,2,1
133,723.2,0,96,0.362,14.63,5.9,356,718.1,73,0,5.84,1.1,3,719.9583333,0,90.08333333,0.054409091,8.403333333,2.829166667,167.25,1,7,3,1
118,732.6,0.01,94,0.435,17.36,12.7,352,723.5,46,0,6.84,1.4,3,728.4166667,0.000416667,70.91666667,0.118181818,11.89791667,5.958333333,178.0833333,1,1,4,1
55,734.2,0,80,0.463,12.89,13.3,119,729.8,62,0,6.87,3.3,51,732.0333333,0,72.20833333,0.090583333,9.695,7.304166667,99.375,1,2,5,1
105,730.2,0,85,0.53,17.27,8.2,327,726.7,58,0,7.5,2.4,18,728.3041667,0,73.625,0.106041667,12.16416667,4.366666667,96.20833333,1,3,6,1
49,734.8,0.02,94,0.455,17.9,13.9,360,727,71,0,7.98,0.9,0,729.8041667,0.0025,85.66666667,0.1028,12.4475,6.233333333,220.5416667,1,4,7,1
52,734.8,0,88,0.164,7.49,11.1,358,725.6,69,0,3.66,1.5,0,730.5041667,0,79.08333333,0.040909091,4.692083333,7.1625,142.1666667,1,5,8,1
40,730,0.07,93,0.076,7.44,9.5,359,723.6,85,0,4.17,1.9,281,726.8,0.003333333,88.16666667,0.020291667,5.662916667,5.6125,327.7083333,1,6,9,0
18,729.7,0.05,94,0.126,4.91,7.4,359,725.3,91,0,2.86,1.8,1,727.2583333,0.007083333,93.29166667,0.025625,3.841666667,5.258333333,222.0833333,1,7,10,0
66,725,0.01,95,0.584,16.44,9.3,356,721.2,65,0,3.04,0.9,6,723.4458333,0.000416667,84.25,0.184444444,9.185,3.779166667,141,1,1,11,1
102,726.2,0,94,0.538,19.69,11.1,349,722.2,56,0.007,6.95,1.8,51,723.7708333,0,77.25,0.322,13.49625,6.191666667,171,1,2,12,1
27,729.1,0.05,95,0.002,11.25,9.8,359,725.8,90,0,5.44,4.7,19,727.1565217,0.01,93.08695652,0.0005,6.746086957,7.191304348,211.8695652,1,3,13,0
21,726.8,0.02,95,0.089,6.25,8,359,723.7,93,0,4.98,2.8,2,725.3708333,0.005416667,94.41666667,0.0265,5.528333333,5.170833333,138.3333333,1,4,14,0
31,729.1,0.01,94,0.452,12.17,10,359,725.2,63,0,4.56,1.6,6,727.2083333,0.000833333,78.95833333,0.083916667,8.1825,6.5875,255.625,1,5,15,0
43,728.9,0,89,0.539,18.48,8.7,350,724.6,47,0,6.08,0.9,1,726.7708333,0,70.25,0.1986875,11.8475,3.383333333,150.2916667,1,6,16,1
121,726.3,0,86,0.555,24.93,6,314,720.6,41,0,8.42,0.9,6,722.9625,0,66.25,0.187176471,16.33791667,3.020833333,131.2083333,1,7,17,1
98,729.5,0,72,0.434,20.48,9.4,344,725.1,31,0,14.58,3.3,0,726.9041667,0,45.66666667,0.089625,16.69125,5.333333333,201.625,1,1,18,1
67,724.7,0,69,0.604,27.66,9.3,358,718.5,35,0,12.59,1,35,721.5,0,55.16666667,0.108541667,18.12041667,3.820833333,184.0416667,1,2,19,1
90,720,0,81,0.596,29.12,10.6,355,716.6,32,0,13.56,1.7,10,718.5,0,56.16666667,0.155125,21.59708333,5.079166667,176.3333333,1,3,20,1
55,719.2,0,84,0.553,21.92,12.2,339,716.1,66,0,15.16,1.9,4,717.8208333,0,75.5,0.116833333,18.36625,6.0875,162,1,4,21,1
34,723.8,0.01,95,0.161,17.31,14.4,360,716.9,79,0,6.99,5.1,0,719.6125,0.000416667,88.04166667,0.040375,13.15708333,10.20833333,233.4583333,1,5,22,0
24,727.4,0,89,0.467,13.02,15.6,359,723.7,58,0,6.4,2.7,2,725.3958333,0,70.875,0.097125,8.912916667,11.10416667,252.875,1,6,23,0
83,728.2,0,83,0.42,15.25,6,357,723.5,45,0,4.8,1.5,25,725.8666667,0,66.66666667,0.098208333,10.28666667,4.108333333,184.25,1,7,24,1
79,726.1,0,77,0.563,23.19,9.4,352,721.9,23,0,8.77,0.9,4,723.3291667,0,50.5,0.097,14.69208333,3.545833333,238.2083333,1,1,25,1
47,727.6,0,59,0.507,20.77,10.1,352,724.3,29,0,12.41,0.9,6,725.8291667,0,41.16666667,0.115916667,16.99083333,4.945833333,171.5,1,2,26,1
64,725.5,0,60,0.607,26.37,11.4,359,722.9,23,0,13.39,1.6,3,724.325,0,42.16666667,0.158541667,19.47166667,4.541666667,214.125,1,3,27,1
56,723.8,0,63,0.54,24.57,13.1,354,721.4,34,0,14.07,1.4,11,722.575,0,49.125,0.133541667,19.25791667,5.0625,182.0833333,1,4,28,1
